tag,freq
phone sex,3
modern era,3
harry potter epilogue what epilogue / ewe,3
rape,3
light dom/sub,3
the noble and most ancient house of black,3
muggle/wizard relations,3
hijinks and shenanigans,3
padfoot - freeform,3
aurors,3
remadora,3
complete,3
wolfstar fluff,3
minor hermione granger/ron weasley,3
age difference,3
references to the beatles,3
declarations of love,3
implied/referenced underage sex,3
metamorphmagus,3
severus snape has a heart,3
good draco malfoy,3
studying,3
sirius black is a good boyfriend,3
i wrote this instead of sleeping,3
how do i tag,3
sirius black and remus lupin friendship,3
kinky,3
period-typical homophobia,3
no beta we die like men,3
fanart,3
implied/referenced abuse,3
alternate universe - no powers,3
mild hurt/comfort,3
implied/referenced rape/non-con,3
genderfluid character,3
asexual character,3
rope bondage,3
subspace,3
aftercare,3
begging,3
drunk sex,3
drunken confessions,3
sirius black in azkaban,3
sirius black free from azkaban,3
regulus black lives,3
good regulus black,3
developing relationship,3
post-break up,3
rs fireside tales,3
poetry,3
tags are hard,3
first love,3
rough oral sex,3
dom/sub undertones,3
come eating,3
bathing/washing,3
scents and smells,3
implied/referenced suicide,3
implied/referenced domestic violence,3
potions,3
gryffindor,3
death,3
non-explicit sex,3
slow build,3
sex toys,3
deepthroating,3
drabble collection,3
1980s,3
kinda,3
healing,3
homophobic language,3
marriage proposal,3
christmas eve,3
pwp,3
werewolf mates,3
funny,3
sorry - freeform,3
sad remus lupin,3
beaches,3
don't copy,3
don't repost,3
do not copy,3
do not repost,3
wanking,3
alternate universe - bookstore,3
tea,3
not canon compliant - harry potter and the deathly hallows,3
rape/non-con elements,3
dementors,3
song fic,3
alternate universe - historical,3
friends with benefits,3
based on a 5 seconds of summer song,3
fluffy ending,3
podfic and podficced works,3
sick character,3
ficlet,3
threesome - m/m/m,3
molly weasley bashing,3
cheating,3
motorcycles,3
community: hpft,3
nudity,3
bottom!sirius,3
pranks and practical jokes,3
lgbtq character,3
denial,3
boys kissing,3
mwpp era,3
tumblr prompt,3
music,3
implied/referenced cheating,3
truth or dare,3
pack bonding,3
unresolved sexual tension,3
male friendship,3
fluffy,3
battle of hogwarts,3
fluff and hurt/comfort,3
podfic length: 0-10 minutes,3
creature fic,3
noncon,3
cock ring,3
