tag,general,teen,mature,explicit,notrated
implied/referenced child abuse,13,43,25,10,9
emotional/psychological abuse,2,14,49,27,8
blood and gore,0,18,34,39,9
enemies to lovers,9,29,25,33,4
good severus snape,24,32,22,12,10
fae and fairies,0,27,33,27,13
mates,5,36,32,23,5
bullying,12,43,25,8,12
post-battle of hogwarts,23,34,18,9,17
domestic fluff,37,30,11,10,12
kissing,11,31,21,34,3
forgiveness,18,36,27,14,5
hope,45,27,27,0,0
daddy kink,0,3,24,68,5
drabble,51,29,9,4,7
slow to update,14,32,14,11,29
on hiatus,0,40,20,10,30
silly,18,45,9,9,18
fluff and crack,42,19,8,8,23
good tom riddle,26,13,30,22,9
hogwarts seventh year,22,30,28,13,7
rare pairing,20,35,17,26,2
angst and hurt/comfort,19,34,24,11,12
drug addiction,0,31,31,38,0
teacher-student relationship,3,6,27,52,12
dark,7,17,35,37,4
wolfstar,29,31,20,8,12
first time,2,7,25,65,2
voyeurism,2,3,11,84,0
incest,1,9,13,70,6
twincest,6,11,28,56,0
hand jobs,0,0,19,77,4
vaginal sex,0,0,16,80,3
loss of virginity,0,0,9,87,4
shower sex,0,3,16,78,3
masturbation,0,3,23,71,3
mutual masturbation,0,0,22,78,0
vaginal fingering,0,0,15,85,0
foursome - m/m/m/m,0,0,40,60,0
sex,0,6,34,56,4
trans character,32,36,4,16,12
lesbian sex,5,0,19,71,5
lesbian character,21,36,14,29,0
bondage,0,0,14,82,5
developing friendships,38,33,10,10,10
personal growth,17,50,0,17,17
banter,12,28,20,35,6
friends to lovers,19,36,22,18,4
gay harry potter,18,36,36,9,0
sexual tension,3,19,33,41,3
sharing a bed,13,33,20,31,4
independent harry potter,0,67,17,17,0
self-discovery,33,11,28,28,0
character development,25,33,8,17,17
bamf harry potter,9,37,22,17,15
character study,33,41,15,0,11
past rape/non-con,0,4,54,31,12
alternate universe - harry potter setting,27,35,18,10,11
drinking,10,28,31,24,7
master/slave,0,5,26,58,11
pregnancy,19,25,26,26,4
drama and romance,4,36,28,25,7
het,7,7,21,43,21
power imbalance,0,0,17,75,8
prostitution,0,0,24,76,0
threats of violence,0,33,17,42,8
child abuse,6,32,35,12,15
implied/referenced rape/non-con,3,14,41,34,8
malfoy manor,31,27,23,15,4
pov multiple,20,30,20,25,5
crack,39,27,16,10,8
triwizard tournament,20,37,33,4,6
one shot collection,19,28,22,11,19
alternate universe - fusion,17,42,33,0,8
manipulative dumbledore,3,29,29,26,13
eventual smut,1,8,42,41,8
multiple pairing,0,9,36,55,0
attempted rape/non-con,0,10,48,33,10
canon-typical violence,6,43,25,19,8
battle of hogwarts,40,37,14,5,5
reader-insert,45,18,9,9,18
adventure,17,50,27,5,2
yaoi,0,10,40,40,10
case fic,0,38,38,24,0
aurors,22,22,28,25,3
auror ron weasley,23,15,31,23,8
ilvermorny,15,50,15,10,10
twins,12,41,24,18,6
book 2,39,33,11,11,6
hogwarts professors,29,14,29,21,7
severus snape lives,16,31,24,25,4
harry potter next generation,31,32,14,16,7
coming of age,13,53,20,13,0
dramione - freeform,15,29,24,24,7
non-canon relationship,9,22,35,22,13
unplanned pregnancy,7,33,41,19,0
not harry potter and the cursed child compliant,28,44,11,6,11
draco malfoy - freeform,50,6,17,11,17
harry potter - freeform,33,24,23,7,13
hurt,26,20,37,6,11
comfort,51,19,11,11,8
school,33,33,17,8,8
family drama,22,34,31,10,3
action,36,36,14,7,7
sexual content,0,4,50,39,7
family issues,11,61,18,7,4
adventure and romance,0,44,28,22,6
fighting,8,33,42,0,17
post-canon,28,34,22,12,5
unresolved sexual tension,0,23,20,48,9
translation,6,50,12,25,6
praise kink,0,0,7,93,0
draco malfoy and harry potter friendship,19,46,12,12,12
married life,30,10,25,25,10
seduction,0,8,54,31,8
i wrote this instead of sleeping,41,37,5,5,12
author is sleep deprived,18,41,29,12,0
the author regrets nothing,23,23,23,23,8
time turner,8,28,36,25,3
world war ii,8,42,8,17,25
past abuse,14,14,34,31,6
implied/referenced self-harm,5,34,45,11,5
anxiety,20,41,18,16,5
teasing,11,14,19,54,3
bottom severus snape,3,17,37,37,6
top severus snape,0,0,25,75,0
hufflepuff,32,27,8,5,27
making out,0,21,16,58,5
emotional baggage,18,24,18,18,24
depression,12,39,24,18,7
background relationships,12,50,17,8,12
miscommunication,0,53,27,20,0
good draco malfoy,22,34,16,12,16
not canon compliant - harry potter and the half-blood prince,0,27,64,0,9
first meeting,32,46,6,8,8
psychological torture,8,4,29,54,4
potions,21,33,23,12,10
punishment,0,5,26,68,0
original character death,0,27,64,9,0
platonic relationships,21,21,26,11,21
baby harry,47,33,13,7,0
minor original character,10,45,25,10,10
horcruxes,7,39,31,12,11
psychological trauma,17,6,44,28,6
veela,6,6,50,38,0
curse breaking,10,40,30,20,0
sex magic,6,0,12,82,0
crack treated seriously,36,24,14,17,10
non-graphic violence,0,43,29,21,7
lily evans potter lives,14,43,18,14,11
arranged marriage,10,31,24,29,6
comfort/angst,30,20,30,10,10
bisexual harry potter,8,21,29,29,12
porn with feeling,0,0,14,86,0
implied/referenced character death,26,46,14,8,6
good albus dumbledore,14,33,38,5,10
magically powerful harry potter,9,30,30,21,9
wizarding politics,3,38,35,9,15
magical theory,13,30,30,17,9
reincarnation,12,54,20,4,11
hinny,27,27,27,18,0
summer,36,36,0,21,7
somebody lives/not everyone dies,17,17,42,17,8
professor harry potter,30,13,30,22,4
secrets,14,31,27,22,6
hogsmeade,11,44,22,6,17
the marauder's map,29,29,21,0,21
holidays,28,12,24,28,8
st mungo's hospital,22,39,17,17,6
jily,38,31,22,0,9
canon divergence,27,45,18,0,9
what-if,59,27,14,0,0
parselmouth harry potter,11,50,6,22,11
language,0,22,28,44,6
self-harm,6,23,31,28,12
suicidal thoughts,6,29,35,16,14
hogwarts eighth year,18,34,24,18,6
male slash,15,15,27,33,9
work in progress,12,45,21,12,9
teenagers,10,42,26,16,6
teen romance,16,49,11,11,13
developing relationship,15,45,20,12,8
divorce,0,31,38,19,12
therapy,0,30,25,30,15
coming out,25,42,9,19,6
getting together,16,39,16,21,8
muggle london,20,30,20,20,10
anorexia,17,33,25,25,0
insomnia,36,36,27,0,0
scars,15,41,9,32,3
alternate universe - soulmates,19,51,16,9,6
soulmate-identifying marks,37,31,11,11,11
severitus / severus snape is harry potter's parent,38,38,12,0,12
sirius black free from azkaban,13,53,7,13,13
ginny weasley bashing,15,36,21,9,18
good malfoy family,12,25,31,12,19
romantic fluff,32,22,32,7,7
family fluff,46,30,11,6,7
family bonding,44,28,28,0,0
out of character,17,31,18,23,12
professor neville longbottom,20,7,47,27,0
family dynamics,38,31,6,19,6
sirius black and remus lupin raise harry potter,40,30,20,0,10
minor sirius black/remus lupin,37,42,16,5,0
canon rewrite,12,31,38,6,12
polyamory,18,18,32,26,5
good slytherins,22,30,22,10,15
fred weasley lives,16,26,29,16,13
nymphadora tonks lives,9,45,27,9,9
dumbledore bashing,10,24,33,16,17
creature inheritance,0,31,31,19,19
harry is lord potter,9,55,18,18,0
mildly dubious consent,3,0,25,62,9
powerful harry,9,34,17,30,9
public sex,0,2,11,84,2
gringotts wizarding bank,19,31,31,6,12
come eating,0,0,0,100,0
murder,6,29,36,26,3
exhibitionism,0,5,11,84,0
consensual underage sex,0,5,27,64,5
consensual sex,0,0,27,73,0
past child abuse,9,25,32,23,12
creampie,0,0,5,95,0
implied mpreg,11,21,18,39,11
possessive behavior,0,22,22,35,20
bottom harry,2,6,17,66,9
minor violence,11,50,17,17,6
trans male character,39,33,0,11,17
fluff and smut,1,5,35,54,5
slice of life,40,47,8,4,2
