,Harry_Potter,Draco_Malfoy,Sirius_Black,Remus_Lupin,Severus_Snape,Newt_Scamander,Original_Percival_Graves,Gellert_Grindelwald,Albus_Dumbledore,Hermione_Granger,Tom_Riddle,Scorpius_Malfoy,Albus_Severus_Potter,Voldemort,Credence_Barebone,Ginny_Weasley,Theseus_Scamander,Ron_Weasley,Luna_Lovegood,James_Potter,Pansy_Parkinson,Bellatrix_Black_Lestrange,Oliver_Wood,James_Sirius_Potter,Neville_Longbottom,Lucius_Malfoy,Teddy_Lupin,Blaise_Zabini,Marcus_Flint,Charlie_Weasley,Narcissa_Black_Malfoy,Regulus_Black,Seamus_Finnigan,Percy_Weasley,Dean_Thomas,Fleur_Delacour,Original_Male_Character,Theodore_Nott,Cedric_Diggory,Minerva_McGonagall,Lily_Evans_Potter,Lavender_Brown,Nymphadora_Tonks,George_Weasley,Cho_Chang,Kingsley_Shacklebolt,Original_Character,Parvati_Patil,Gellert_Grindelwald_pretending_Percival_Graves
Fleur_Delacour,2,0,0,0,0,0,0,0,0,67,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37,0,11,0,0,0,0
Original_Male_Character,34,11,2,3,6,2,2,3,2,0,3,0,1,0,0,0,3,0,0,1,0,0,1,1,2,0,0,0,0,6,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
Theodore_Nott,34,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,15,0,0,20,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedric_Diggory,67,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
Minerva_McGonagall,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lily_Evans_Potter,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,10,0,2,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lavender_Brown,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,4,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,43,0
Nymphadora_Tonks,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,0
George_Weasley,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Cho_Chang,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0
Kingsley_Shacklebolt,4,1,1,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Original_Character,11,1,3,1,6,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0
Parvati_Patil,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0
Gellert_Grindelwald_pretending_Percival_Graves,0,0,0,0,0,2,5,0,14,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
