filename,title,rating,ship,language,category,lovers,wordcount,published,hits,freeform_tags
2_1.txt,Clock,general,none,English,gen,Arthur Weasley/Molly Weasley,40,2020-04-01,31,none
2_2.txt,Canis Taedium,explicit,none,English,none,Hermione Granger/Severus Snape,6501,2020-04-01,4200,Animal Abuse|Animal Death|Bestiality|Torture|Bittersweet Ending|Alternate Universe - Voldemort Wins
2_3.txt,we'll make a memory out of this,general,none,English,het,Dean Thomas/Ginny Weasley,3836,2020-04-01,217,Post-Hogwarts|Canon Compliant|Angst|Drama with a hopeful tone|Tragic Romance|Introspective Dean
2_4.txt,Floresco,notrated,none,English,multi,Draco Malfoy/Harry Potter,1348,2020-04-01,287,Escapril Poetry Challenge|escapril 2020|daily fic|Alternate Universe - Flower Shop|Alternate Universe - Coffee Shops &amp; Cafés|Harry is soft|Draco is an old man|soft|we&#39;ll see if i make it through april|probably not|but that&#39;s okay|Not Epilogue Compliant|Harry Potter Epilogue What Epilogue / EWE|draco is not literally an old man|but he sure acts like one
2_5.txt,By Chance,explicit,none,English,het,Hermione Granger/Lucius Malfoy,17139,missing data,missing data,none
2_6.txt,The Disappearances of Draco Malfoy,teen,none,English,het,Draco Malfoy/Hermione Granger,20400,2020-03-24,35254,Alternate Universe - Canon Divergence|Not Canon Compliant - Harry Potter and the Deathly Hallows|background romione|Slow Burn|awkward camping|Horcrux Hunting|Redemption|Enemies to Friends to Lovers|no ron bashing
2_7.txt,cast yourself (you're the spell),general,none,Español,multi,Hope Mikaelson/Josie Saltzman,5039,missing data,missing data,none
2_8.txt,"Shared Spaces (or alternatively: Oh My God, They're Roommates)",mature,none,English,multi,Harry Potter/Theodore Nott,3161,missing data,missing data,none
2_9.txt,Phoenix Rising,mature,none,English,het,Draco Malfoy/Hermione Granger,166203,2019-11-09,51328,Don’t copy to another site|Pureblood Hermione Granger|Post-Harry Potter and the Order of the Phoenix
2_10.txt,Son of Lord Voldemort,mature,none,English,slash,Draco Malfoy/Harry Potter,11933,2020-03-29,2912,Albus Dumbledore Bashing|Manipulative Albus Dumbledore|Minor Draco Malfoy/Harry Potter|Evil Albus Dumbledore|Bad Albus Dumbledore|I&#39;m Bad At Tagging|I&#39;m Bad At Summaries|Book 1: Harry Potter and the Philosopher&#39;s Stone|Alternate Universe|Other Additional Tags to Be Added|Hermione Granger Bashing|Ron Weasley Bashing|Gryffindor Bashing
2_11.txt,Tunnel,general,none,English,gen,none,8684,2020-04-01,366,One Shot|Book 3: Harry Potter and the Prisoner of Azkaban|Lovingly canon-divergent|Canon Era|Hogwarts Express|Severus Snape-centric|POV Severus Snape|short story Harry Potter|Mystery|Dementors
2_12.txt,Souls Entwined,explicit,none,English,multi,Harry Potter/Tom Riddle,12898,2020-03-22,29452,Soulmates|Soul Bond|Mpreg|Mpreg Harry|Teen Pregnancy|Fluff and Angst|Hurt/Comfort|Emotional Hurt/Comfort|Slytherins Being Slytherins|Slytherin Harry Potter|Slytherin Politics|Slytherin Common Room|Pureblood Culture (Harry Potter)|Pureblood Society (Harry Potter)|Pureblood Politics (Harry Potter)|Sane Tom Riddle|Possessive Tom Riddle|Top Tom Riddle|Tom Riddle is Not Voldemort|Riddle at Hogwarts Era|No Beta|We Die Like Men|Male pregnancy that works
2_13.txt,Knight Moves,mature,none,Italiano,slash,Harry Potter/Severus Snape,8685,2020-04-01,77,Humor|Romance
2_14.txt,Sabrina Stratford and the Wizarding World (Book One),general,none,English,multi,Lily Evans Potter/Severus Snape,89133,2020-02-21,498,Marauders|Marauders Era (Harry Potter)|Marauders Friendship (Harry Potter)|Female Marauders (Harry Potter)|Alternate Universe - Hogwarts|First War with Voldemort
2_15.txt,Manacled Audiobook,explicit,none,English,het,Draco Malfoy/Hermione Granger,1486,2019-07-11,6613,Post-War|Harry Potter Dies|Alternate Universe - Voldemort Wins|Forced Pregnancy|Imprisonment|Death Eater Draco Malfoy|Minor Character Death|Memory Loss|Rape/Non-con Elements|Eventual Romance|Battle|Rape|Mystery|Healer Hermione|Self Harm|Flashbacks|Slow Build|Angst with a Happy Ending|Slow Build Draco Malfoy/ Hermione Granger|Espionage|Audio Book|Podfic
2_16.txt,When Liverpool F.C. go to Hogwarts,teen,none,English,gen,none,4235,2020-04-01,161,Ron Weasley Bashing|Ginny Weasley is a Good Friend|Molly Weasley Bashing|Manipulative Albus Dumbledore|Dark Albus Dumbledore|Good Voldemort (Harry Potter)|Female Harry Potter|Harry Potter Leaves the Wizarding World|Voldemort is Harry&#39;s Grandfather
2_17.txt,What Makes Us Human,general,none,English,multi,Nymphadora Tonks/Remus Lupin,7095,missing data,missing data,none
2_18.txt,Malarkia,mature,none,English,multi,none,26669,2020-03-05,7250,a very charming diary|Female Harry Potter|Female Tom Riddle|some magical culture|Languages|Room of Requirement Shenanigans|magical britain is kind of a shithole|not unlike real britain|no the government doesnt make sense|it&#39;s not even really dumbledore&#39;s fault this time|he&#39;s sort of manipulative dumbledore but canon|is canon!manipulative!dumbledore a tag|because he is|the dursleys are a fuck|not in the usual way tho|Mental Institutions|Dark Harry Potter|Worldbuilding|Not Pottermore Compliant|not even a little|Legilimency|Not Fantastic Beasts Compliant|Female Voldemort (Harry Potter)|Desi Harry Potter
2_19.txt,𝓢𝓪𝓭 an̵d̷̬̯͆̎̋̆͋ S̷͈͗̂͊͌͝a̵̡̘̖̔d̶̡̟̘̺̈̓͛͘į̴̙̣̮̪̐s̶͇͙̭̤͒̑̓t̶̛͍̻̪̝̰̿̏̔ȉ̶̖̱̯̞c̵̹͇͆,mature,none,English,slash,Severus Snape/Voldemort,5721,missing data,missing data,none
2_20.txt,Travellers' Tragedies,general,none,English,multi,Original Female Character(s)/Tom Riddle,6859,2019-08-28,401,Time Travel|Alternate Universe - Time Travel|Funny|Angst|Fluff and Angst|Fluff and Humor|Angst and Humor|Slow Burn
3_1.txt,Harry Potter and The Marriage Law,teen,none,English,het,Charlie Weasley/Hermione Granger,50205,2019-03-14,7952,Child Loss|Death|Heartbreak|Triggers|Grief/Mourning
3_2.txt,Not The Third Wheel,mature,none,English,slash,Cedric Diggory/Harry Potter,1190,2020-03-31,3813,LGBTQ|Denial of Feelings|Love Confessions|Caught|Gay Male Character|Love Triangles|Secret Relationship|Protective Siblings|Gay Sex|Anal Sex|Oral Sex|Threesome - M/M/M
3_3.txt,Shedding Skin,teen,none,English,gen,Harry Potter/Original Female Character(s),10554,2020-03-21,1140,Slytherin Harry Potter|Pureblood Culture (Harry Potter)|Black Family Drama (Harry Potter)|Re-Sorting|Hogwarts Fifth Year|Slytherin Politics|Dark Magic|Domestic Violence|Ravenclaw Hermione Granger|Severus Snape Has a Heart|Malfoy Family Feels (Harry Potter)
3_4.txt,Esmeralda: The Early Years,teen,none,English,gen,Albus Dumbledore/Harry Potter,2077,missing data,missing data,none
3_5.txt,A Horrible Noise,teen,none,English,gen,Fred Weasley/George Weasley,1543,2020-04-01,725,Non-Explicit|Fred Weasley/George Weasley - Freeform|I don&#39;t care which way you read it you do you|Angst|Extreme angst|Canonical Character Death|unfortunately|I&#39;m Sorry|Do not read if you aren&#39;t ready to be sad|Book 7: Harry Potter and the Deathly Hallows|Broken Heart Syndrome
3_6.txt,Lilies In The Garden,teen,none,English,gen,Harry Potter/Lily Evans Potter,8536,2020-03-15,1576,Alternate Universe - Canon Divergence|First War with Voldemort|Second War with Voldemort|Angst with a Happy Ending|BAMF Lily Evans Potter|Muggle-born Pride|Action/Adventure|Mystery|Protective Sirius Black|Protective Remus Lupin|Feminist Themes|No Boy-Who-Lived (Harry Potter)|canon-compliant political activism|wolfstar now somewhat higher key|there are a lot of men in this I will admit but there WILL be lots of female character development|men drinking their respect women juice|Hurt/Comfort
3_7.txt,Libertad sin paz,mature,none,Español,multi,Draco Malfoy/Harry Potter,214868,2019-04-11,2295,Alternate Universe - Canon Divergence|Potter Twins|Slytherin Harry Potter|Action/Adventure|Slash|Compulsion|Emotional Manipulation|Violence|Minor Character Death|Drama|Implied/Referenced Child Abuse|Emotional/Psychological Abuse|Blood and Gore|dark themes|Heavy Angst
3_8.txt,when the music dies out (you should still take me home),general,none,English,het,James Potter/Lily Evans Potter,4572,2020-03-26,832,Alternate Universe - Canon Divergence|Exes to Lovers|Enemies to Lovers|Marauders Era (Harry Potter)
3_9.txt,Fandom One-Shots,teen,none,English,multi,Derek Hale/Stiles Stilinski,8740,missing data,missing data,none
3_10.txt,"Of Cousins, Landslides, and Broken Bones",notrated,none,English,gen,none,3599,2020-04-01,979,Snape-friendly|Good Severus Snape|Fluff and Angst|Angst and Humor|Harry Potter Has a Saving People Thing|Harry and Snape communicate for once
3_11.txt,His Protective Embrace,explicit,none,English,slash,Draco Malfoy/Harry Potter,5716,2020-03-31,2543,Fae &amp; Fairies|Mates|Mpreg Harry
3_12.txt,A Snake in the Grass,general,none,English,gen,Crowley (Good Omens)/Harry Potter,843,2020-04-01,2842,dudley being a little shit|Crowley is Good With Kids (Good Omens)|Bullying
